Year,State,Drivers_Male,Drivers_Male%,Drivers_Female,Drivers_Female%,Drivers_Total,Drivers_per_Vehicles,Residents,Residents_Male16+,Residents_Female16+,Residents_16+,Drivers_per_1000Residents,Drivers_per_1000Residents16+
2023,Alabama,1979339,48.42,2108546,51.58,4087885,0.75,5108468,2004675,2178781,4183456,800,977
2023,Alaska,274027,52.18,251168,47.82,525195,0.79,733406,310117,277389,587506,716,894
2023,Arizona,2945464,50.35,2904528,49.65,5849992,0.92,7431344,3054328,3095645,6149973,787,951
2023,Arkansas,1133111,49.12,1173810,50.88,2306921,0.7,3067732,1219331,1277202,2496533,752,924
2023,California,14110730,50.86,13631618,49.14,27742348,0.91,38965193,15933641,16166248,32099889,712,864
2023,Colorado,2169380,48.35,2317519,51.65,4486899,0.87,5877610,2474341,2418615,4892956,763,917
2023,Connecticut,1299296,49.36,1332977,50.64,2632273,0.93,3617176,1477419,1555751,3033170,728,868
2023,Delaware,430131,48.55,455891,51.45,886022,2.02,1031890,411726,446564,858290,859,1032
2023,Dist. of Col.,256482,49.21,264745,50.79,521227,1.65,678972,266331,303628,569959,768,914
2023,Florida,8448156,49.64,8570195,50.36,17018351,0.89,22610726,9281287,9754332,19035619,753,894
2023,Georgia,3542091,46.05,4149446,53.95,7691537,0.85,11029227,4326609,4645713,8972322,697,857
2023,Hawaii,478133,50.67,465538,49.33,943671,0.76,1435138,592437,596236,1188673,658,794
2023,Idaho,708658,50.69,689349,49.31,1398007,0.68,1964726,794322,792982,1587304,712,881
2023,Illinois,4285823,49.65,4345662,50.35,8631485,0.85,12549689,5076394,5279168,10355562,688,834
2023,Indiana,2319788,49.15,2400397,50.85,4720185,0.84,6862199,2744351,2830136,5574487,688,847
2023,Iowa,1181555,49.65,1198236,50.35,2379791,0.63,3207004,1301011,1313360,2614371,742,910
2023,Kansas,995224,49.16,1029259,50.84,2024483,0.82,2940546,1189774,1191336,2381110,688,850
2023,Kentucky,1466621,48.87,1534570,51.13,3001191,0.67,4526154,1814979,1879216,3694195,663,812
2023,Louisiana,1630596,47.89,1774007,52.11,3404603,0.77,4573749,1785074,1913324,3698398,744,921
2023,Maine,526805,49.45,538556,50.55,1065361,0.8,1395722,582831,614022,1196853,763,890
2023,Maryland,2118501,48.91,2212664,51.09,4331165,0.89,6180253,2433327,2633412,5066739,701,855
2023,Massachusetts,2387927,49.06,2479298,50.94,4867225,0.94,7001399,2863297,3048757,5912054,695,823
2023,Michigan,3804675,49.31,3910906,50.69,7715581,0.79,10037261,4085882,4228911,8314793,769,928
2023,Minnesota,2089136,50.31,2063574,49.69,4152710,0.72,5737915,2328865,2347550,4676415,724,888
2023,Mississippi,976261,47.13,1095153,52.87,2071414,0.93,2939690,1148650,1248290,2396940,705,864
2023,Missouri,2102694,48.8,2206074,51.2,4308768,0.78,6196156,2479851,2596935,5076786,695,849
2023,Montana,447812,50.96,430986,49.04,878798,0.37,1132812,474274,465208,939482,776,935
2023,Nebraska,731298,50.25,723985,49.75,1455283,0.75,1978379,791313,794987,1586300,736,917
2023,Nevada,1152715,51.09,1103722,48.91,2256437,0.85,3194176,1322056,1313936,2635992,706,856
2023,New Hampshire,532362,48.81,558344,51.19,1090706,0.78,1402054,595799,603232,1199031,778,910
2023,New Jersey,3420073,49.89,3434502,50.11,6854574,1.16,9290841,3730611,3915791,7646402,738,896
2023,New Mexico,765029,49.65,775712,50.35,1540741,0.84,2114371,864193,886514,1750707,729,880
2023,New York,6377385,51.79,5936806,48.21,12314191,1.32,19571216,7887940,8433417,16321357,629,754
2023,North Carolina,3884278,48.08,4194663,51.92,8078941,0.94,10835491,4329463,4611456,8940919,746,904
2023,North Dakota,281178,48.4,299740,51.6,580918,0.56,783926,324519,309124,633643,741,917
2023,Ohio,4142445,49.1,4293925,50.9,8436370,0.76,11785935,4738048,4944982,9683030,716,871
2023,Oklahoma,1207939,46.5,1389578,53.5,2597517,0.77,4053824,1610519,1650941,3261460,641,796
2023,Oregon,1560293,49.59,1586339,50.41,3146632,0.76,4233358,1759787,1800262,3560049,743,884
2023,Pennsylvania,4524197,49.53,4610092,50.47,9134289,0.85,12961683,5289966,5527319,10817285,705,844
2023,Rhode Island,370508,48.61,391768,51.39,762276,0.94,1095962,450310,478596,928906,696,821
2023,South Carolina,1949611,47.57,2148497,52.43,4098108,0.84,5373555,2134834,2310058,4444892,763,922
2023,South Dakota,349182,50.72,339295,49.28,688477,0.52,919318,373061,366165,739226,749,931
2023,Tennessee,2464585,48.11,2658199,51.89,5122784,0.75,7126489,2838565,3006580,5845145,719,876
2023,Texas,9502704,49.6,9656656,50.4,19159360,0.83,30503301,12052409,12265334,24317743,628,788
2023,Utah,1162694,50.57,1136597,49.43,2299291,0.76,3417734,1340525,1318052,2658577,673,865
2023,Vermont,238623,49.67,241840,50.33,480463,0.78,647464,274950,279729,554679,742,866
2023,Virginia,2794393,47.19,3127139,52.81,5921532,0.76,8715698,3517955,3662168,7180123,679,825
2023,Washington,3068506,51.06,2941336,48.94,6009842,0.83,7812880,3239032,3216166,6455198,769,931
2023,West Virginia,556034,49.13,575654,50.87,1131688,0.76,1770071,736463,746911,1483374,639,763
2023,Wisconsin,2200414,49.88,2210768,50.12,4411182,0.78,5910955,2441279,2459898,4901177,746,900
2023,Wyoming,225485,51.11,215710,48.89,441195,0.5,584057,243594,235246,478840,755,921
2022,Alabama,1979339,48.42,2108546,51.58,4087885,0.75,5074296,1959932,2133808,4093740,806,999
2022,Alaska,271585,52.11,249635,47.89,521220,0.77,733583,305057,270877,575934,711,905
2022,Arizona,2954582,50.53,2893078,49.47,5847660,0.98,7359197,2966110,2995623,5961733,795,981
2022,Arkansas,1133111,49.12,1173810,50.88,2306921,0.66,3045637,1190700,1239900,2430600,757,949
2022,California,14034707,50.79,13597396,49.21,27632103,0.9,39029342,15715745,15836963,31552708,708,876
2022,Colorado,2161648,48.28,2315799,51.72,4477447,0.89,5839926,2419496,2356821,4776317,767,937
2022,Connecticut,1297413,49.35,1331362,50.65,2628775,0.96,3626205,1450138,1536317,2986455,725,880
2022,Delaware,418567,48.55,443555,51.45,862122,1.86,1018396,401879,433486,835365,847,1032
2022,Dist. of Col.,251467,49.21,259518,50.79,510985,1.53,671803,262369,295178,557547,761,916
2022,Florida,8150288,49.41,8345268,50.59,16495556,0.87,22244823,9014338,9444715,18459053,742,894
2022,Georgia,3355651,45.59,4005048,54.41,7360699,0.83,10912876,4198479,4509831,8708310,674,845
2022,Hawaii,475654,50.76,461422,49.24,937076,0.77,1440196,588800,586867,1175667,651,797
2022,Idaho,706459,50.73,686185,49.27,1392644,0.71,1939033,770505,760224,1530729,718,910
2022,Illinois,4212142,49.5,4297276,50.5,8509418,0.78,12582032,5010175,5189423,10199598,676,834
2022,Indiana,2283148,49.06,2370660,50.94,4653808,0.75,6833037,2684311,2771755,5456066,681,853
2022,Iowa,1167490,49.6,1186556,50.4,2354046,0.62,3200517,1283751,1287174,2570925,736,916
2022,Kansas,1020937,49.74,1031536,50.26,2052473,0.79,2937150,1164416,1166426,2330842,699,881
2022,Kentucky,1462549,48.86,1531001,51.14,2993550,0.69,4512310,1779867,1846644,3626511,663,825
2022,Louisiana,1629912,47.91,1772035,52.09,3401947,0.91,4590241,1765329,1891212,3656541,741,930
2022,Maine,523581,49.37,536878,50.63,1060459,0.77,1385340,573617,596444,1170061,765,906
2022,Maryland,2156185,49.02,2242654,50.98,4398839,0.91,6164660,2392865,2581484,4974349,714,884
2022,Massachusetts,2398228,49.05,2490841,50.95,4889069,0.95,6981974,2817207,2988258,5805465,700,842
2022,Michigan,3834055,49.3,3942939,50.7,7776994,0.82,10034118,4027067,4152360,8179427,775,951
2022,Minnesota,2068629,50.24,2049157,49.76,4117786,0.75,5717184,2286421,2293022,4579443,720,899
2022,Mississippi,964382,47.11,1082687,52.89,2047069,0.86,2940057,1121457,1219835,2341292,696,874
2022,Missouri,2091452,48.75,2198939,51.25,4290391,0.77,6177957,2428875,2545917,4974792,694,862
2022,Montana,443707,50.95,427175,49.05,870882,0.41,1122867,463102,453187,916289,776,950
2022,Nebraska,726589,50.12,723229,49.88,1449818,0.76,1967923,773380,774410,1547790,737,937
2022,Nevada,1127898,51.02,1082791,48.98,2210689,0.83,3177772,1292065,1279958,2572023,696,860
2022,New Hampshire,594386,50.59,580440,49.41,1174826,0.84,1395231,586481,590919,1177400,842,998
2022,New Jersey,3291206,49.61,3342730,50.39,6633936,1.07,9261699,3671563,3839420,7510983,716,883
2022,New Mexico,744389,49.34,764186,50.66,1508575,0.84,2113344,842275,868184,1710459,714,882
2022,New York,6231878,51.57,5852797,48.43,12084675,1.29,19677151,7819238,8335003,16154241,614,748
2022,North Carolina,3834209,48.05,4146053,51.95,7980262,0.93,10698973,4194870,4477069,8671939,746,920
2022,North Dakota,271617,48.23,291544,51.77,563161,0.62,779261,315761,301949,617710,723,912
2022,Ohio,4116965,48.98,4288829,51.02,8405794,0.78,11756058,4658551,4847982,9506533,715,884
2022,Oklahoma,1188914,46.5,1367695,53.5,2556609,0.77,4019800,1573447,1605405,3178852,636,804
2022,Oregon,1537085,49.5,1567831,50.5,3104916,0.79,4240137,1742723,1766741,3509464,732,885
2022,Pennsylvania,4514209,49.47,4610053,50.53,9124262,0.84,12972008,5216873,5443468,10660341,703,856
2022,Rhode Island,370152,48.68,390262,51.32,760414,0.96,1093734,446284,469735,916019,695,830
2022,South Carolina,1947328,47.59,2144322,52.41,4091650,0.87,5282634,2067629,2226965,4294594,775,953
2022,South Dakota,344306,50.65,335405,49.35,679711,0.49,909824,363657,353308,716965,747,948
2022,Tennessee,2430645,48.02,2630643,51.98,5061288,0.77,7051339,2768908,2930695,5699603,718,888
2022,Texas,9278918,49.52,9460062,50.48,18738980,0.83,30029572,11671545,11799896,23471441,624,798
2022,Utah,1136679,50.46,1115977,49.54,2252656,0.81,3380800,1292583,1268261,2560844,666,880
2022,Vermont,237693,49.68,240728,50.32,478421,0.79,647064,270374,277676,548050,739,873
2022,Virginia,2745890,47.04,3091257,52.96,5837147,0.78,8683619,3453468,3587810,7041278,672,829
2022,Washington,3036029,50.97,2920019,49.03,5956048,0.77,7785786,3183176,3144875,6328051,765,941
2022,West Virginia,566132,49.3,582274,50.7,1148406,0.96,1775156,726955,739311,1466266,647,783
2022,Wisconsin,2182423,49.89,2192159,50.11,4374582,0.77,5892539,2395809,2407021,4802830,742,911
2022,Wyoming,220842,51.13,211058,48.87,431900,0.5,581381,237393,228490,465883,743,927
2021,Alabama,1966276,48.41,2095561,51.59,4061837,0.74,5039877,1941663,2106190,4047853,806,1003
2021,Alaska,271141,52.21,248147,47.79,519288,0.77,732673,301781,270692,572473,709,907
2021,Arizona,2928443,50.53,2866773,49.47,5795216,0.97,7276316,2907288,2946936,5854224,796,990
2021,Arkansas,1133111,49.12,1173810,50.88,2306921,0.66,3025891,1174476,1229980,2404456,762,959
